real, image
-1.768182, -0.000000
-1.754545, -0.000000
-1.563636, -0.000000
-1.481818, -0.000000
-1.400000, -0.000000
-1.386364, -0.000000
-1.372727, -0.000000
-1.359091, -0.000000
-1.345455, -0.045455
-1.345455, -0.000000
-1.345455, 0.045455
-1.331818, -0.045455
-1.331818, -0.000000
-1.331818, 0.045455
-1.318182, -0.045455
-1.318182, -0.000000
-1.318182, 0.045455
-1.304545, -0.045455
-1.304545, -0.000000
-1.304545, 0.045455
-1.290909, -0.045455
-1.290909, -0.000000
-1.290909, 0.045455
-1.277273, -0.045455
-1.277273, -0.000000
-1.277273, 0.045455
-1.263636, -0.000000
-1.250000, -0.000000
-1.236364, -0.045455
-1.236364, -0.000000
-1.236364, 0.045455
-1.222727, -0.090909
-1.222727, -0.045455
-1.222727, -0.000000
-1.222727, 0.045455
-1.222727, 0.090909
-1.209091, -0.136364
-1.209091, -0.090909
-1.209091, -0.045455
-1.209091, -0.000000
-1.209091, 0.045455
-1.209091, 0.090909
-1.209091, 0.136364
-1.195455, -0.136364
-1.195455, -0.090909
-1.195455, -0.045455
-1.195455, -0.000000
-1.195455, 0.045455
-1.195455, 0.090909
-1.195455, 0.136364
-1.181818, -0.181818
-1.181818, -0.136364
-1.181818, -0.090909
-1.181818, -0.045455
-1.181818, -0.000000
-1.181818, 0.045455
-1.181818, 0.090909
-1.181818, 0.136364
-1.181818, 0.181818
-1.168182, -0.181818
-1.168182, -0.136364
-1.168182, -0.090909
-1.168182, -0.045455
-1.168182, -0.000000
-1.168182, 0.045455
-1.168182, 0.090909
-1.168182, 0.136364
-1.168182, 0.181818
-1.154545, -0.272727
-1.154545, -0.227273
-1.154545, -0.181818
-1.154545, -0.136364
-1.154545, -0.090909
-1.154545, -0.045455
-1.154545, -0.000000
-1.154545, 0.045455
-1.154545, 0.090909
-1.154545, 0.136364
-1.154545, 0.181818
-1.154545, 0.227273
-1.154545, 0.272727
-1.140909, -0.227273
-1.140909, -0.181818
-1.140909, -0.136364
-1.140909, -0.090909
-1.140909, -0.045455
-1.140909, -0.000000
-1.140909, 0.045455
-1.140909, 0.090909
-1.140909, 0.136364
-1.140909, 0.181818
-1.140909, 0.227273
-1.127273, -0.227273
-1.127273, -0.181818
-1.127273, -0.136364
-1.127273, -0.090909
-1.127273, -0.045455
-1.127273, -0.000000
-1.127273, 0.045455
